default,loan_amnt,int_rate,grade,purpose,loan_percent_income,person_age,annual_inc,home_ownership,emp_length,prior_default,credit_history
0,25000,13.87,D,EDUCATION,0.4,25,63000,MORTGAGE,0.0,0,2
1,5000,14.96,D,DEBTCONSOLIDATION,0.07,24,71004,MORTGAGE,8.0,1,3
0,7250,10.65,B,HOMEIMPROVEMENT,0.12,25,62467,RENT,1.0,0,4
0,15000,13.16,C,PERSONAL,0.38,21,40000,OWN,1.0,1,4
0,5600,13.49,C,MEDICAL,0.14,28,40000,RENT,0.0,0,8
0,10000,5.99,A,VENTURE,0.07,24,141000,MORTGAGE,0.0,0,3
0,9000,6.76,A,HOMEIMPROVEMENT,0.11,35,84000,OWN,4.0,0,6
0,1800,7.14,A,MEDICAL,0.05,24,35000,RENT,0.0,0,2
1,25000,18.3,F,EDUCATION,0.11,27,223000,RENT,2.0,0,9
1,12000,14.26,C,VENTURE,0.46,24,26000,RENT,5.0,0,3
0,5000,13.79,C,PERSONAL,0.04,25,120000,RENT,6.0,0,3
0,13000,7.29,A,MEDICAL,0.22,24,60000,MORTGAGE,8.0,0,2
0,6000,9.63,A,EDUCATION,0.08,40,71599,RENT,0.0,0,17
1,9000,14.65,C,MEDICAL,0.09,33,87550,RENT,0.0,1,7
0,5000,7.51,A,VENTURE,0.12,25,41718,OWN,3.0,0,2
0,4000,12.73,C,DEBTCONSOLIDATION,0.12,25,32640,RENT,4.0,1,4
0,6625,14.79,C,HOMEIMPROVEMENT,0.21,30,32000,MORTGAGE,4.0,0,10
0,9000,13.92,C,MEDICAL,0.11,24,85000,RENT,1.0,0,4
0,6000,9.99,B,MEDICAL,0.06,24,105000,MORTGAGE,8.0,0,2
0,12000,7.9,A,EDUCATION,0.16,22,76000,RENT,4.0,0,4
0,7800,7.14,A,PERSONAL,0.22,33,36000,MORTGAGE,3.0,0,10
0,6800,8.9,A,EDUCATION,0.25,23,27600,RENT,6.0,0,3
1,15000,10.99,A,VENTURE,0.35,30,43000,RENT,3.0,0,8
0,15000,7.49,A,DEBTCONSOLIDATION,0.21,27,70000,MORTGAGE,5.0,0,8
0,13200,14.79,C,EDUCATION,0.15,22,90888,MORTGAGE,5.0,0,4
1,15000,15.05,D,MEDICAL,0.42,25,36000,RENT,1.0,1,2
1,12000,17.58,F,DEBTCONSOLIDATION,0.2,22,59000,RENT,2.0,0,4
0,1000,10.99,C,MEDICAL,0.02,31,54000,RENT,15.0,1,7
0,8000,13.16,C,PERSONAL,0.16,22,50000,RENT,2.0,1,2
0,25000,11.49,B,EDUCATION,0.34,29,74000,MORTGAGE,8.0,0,6
0,24000,12.99,C,DEBTCONSOLIDATION,0.18,26,135000,MORTGAGE,10.0,0,2
0,10000,13.85,C,DEBTCONSOLIDATION,0.14,29,70000,MORTGAGE,5.0,0,7
0,20000,9.99,B,HOMEIMPROVEMENT,0.13,26,160000,RENT,3.0,0,3
0,18000,17.39,E,PERSONAL,0.07,28,245000,MORTGAGE,0.0,1,9
0,2400,9.25,B,PERSONAL,0.08,28,30000,RENT,5.0,0,6
0,8000,8.07,A,MEDICAL,0.13,22,60000,MORTGAGE,6.0,0,4
0,12000,14.18,E,HOMEIMPROVEMENT,0.16,27,73660,RENT,4.0,0,7
0,6600,10.99,A,EDUCATION,0.23,26,29000,RENT,11.0,0,3
0,21000,9.99,B,HOMEIMPROVEMENT,0.15,40,136000,MORTGAGE,5.0,0,16
0,3500,9.25,B,HOMEIMPROVEMENT,0.06,25,54084,RENT,5.0,0,2
0,22250,10.99,B,MEDICAL,0.16,33,135000,MORTGAGE,6.0,0,9
0,9600,6.03,A,MEDICAL,0.34,25,28000,MORTGAGE,4.0,0,3
1,1500,5.42,A,DEBTCONSOLIDATION,0.03,24,54000,MORTGAGE,1.0,0,3
0,8000,16.02,D,EDUCATION,0.24,32,33600,OWN,0.0,0,7
0,8000,11.14,B,VENTURE,0.13,29,60000,RENT,4.0,0,5
0,4500,11.48,B,VENTURE,0.11,26,42000,MORTGAGE,0.0,0,3
1,2500,10.99,C,EDUCATION,0.04,24,61200,MORTGAGE,8.0,0,4
1,12000,10.99,B,DEBTCONSOLIDATION,0.24,24,51000,MORTGAGE,8.0,0,3
0,10000,13.49,C,HOMEIMPROVEMENT,0.16,24,62000,RENT,3.0,1,3
1,4400,11.49,B,PERSONAL,0.23,22,19200,RENT,6.0,0,2
1,20000,16.7,E,PERSONAL,0.37,23,54504,RENT,1.0,1,4
0,6700,10.99,A,EDUCATION,0.3,23,22080,MORTGAGE,3.0,0,4
0,6700,10.99,B,EDUCATION,0.26,33,25700,RENT,3.0,0,10
0,2500,9.25,B,HOMEIMPROVEMENT,0.07,26,35000,MORTGAGE,10.0,0,3
0,2500,9.63,B,EDUCATION,0.12,21,20004,OWN,2.0,0,3
0,11200,15.31,D,PERSONAL,0.22,22,51300,OWN,6.0,1,3
1,2500,12.53,B,HOMEIMPROVEMENT,0.16,22,15360,OWN,7.0,0,3
0,5000,12.53,C,VENTURE,0.06,28,81000,MORTGAGE,0.0,0,9
0,15000,12.84,C,EDUCATION,0.23,27,65000,RENT,5.0,1,5
0,6250,10.99,A,DEBTCONSOLIDATION,0.12,22,50004,MORTGAGE,4.0,0,4
0,10000,7.49,A,PERSONAL,0.1,29,100000,MORTGAGE,5.0,0,6
1,20000,11.14,B,MEDICAL,0.28,23,61200,RENT,4.0,0,2
1,9600,17.27,D,EDUCATION,0.27,22,36000,RENT,3.0,1,4
0,14000,13.92,C,VENTURE,0.31,27,45500,OWN,11.0,1,6
0,9000,6.91,A,DEBTCONSOLIDATION,0.1,27,88000,RENT,11.0,0,10
0,7200,10.99,A,EDUCATION,0.09,30,82060,RENT,1.0,0,7
0,12000,10.99,B,HOMEIMPROVEMENT,0.15,30,80000,MORTGAGE,6.0,0,8
1,5000,18.21,F,VENTURE,0.13,22,39000,MORTGAGE,1.0,1,4
0,3500,12.61,C,VENTURE,0.04,23,83004,MORTGAGE,7.0,1,2
0,10800,9.99,B,EDUCATION,0.18,22,61402,MORTGAGE,7.0,0,2
1,7500,10.08,B,DEBTCONSOLIDATION,0.1,33,75000,MORTGAGE,2.0,0,9
0,4000,10.37,B,EDUCATION,0.11,40,35000,MORTGAGE,3.0,0,17
0,9500,6.76,A,EDUCATION,0.16,22,58896,MORTGAGE,6.0,0,4
0,2500,6.76,A,DEBTCONSOLIDATION,0.09,24,29200,MORTGAGE,6.0,0,2
1,21000,16.32,E,MEDICAL,0.29,25,62047,RENT,9.0,1,4
1,8000,12.41,C,MEDICAL,0.4,24,20000,RENT,0.0,1,4
0,6000,6.92,A,EDUCATION,0.08,28,75000,RENT,4.0,0,6
0,13000,10.99,D,HOMEIMPROVEMENT,0.17,33,77000,RENT,7.0,0,7
0,8000,11.49,B,EDUCATION,0.28,22,28800,RENT,6.0,0,2
0,4000,13.43,C,EDUCATION,0.09,31,45000,RENT,0.0,0,6
0,7500,8.32,A,EDUCATION,0.09,24,82000,MORTGAGE,1.0,0,3
1,2400,17.58,D,HOMEIMPROVEMENT,0.08,25,31200,MORTGAGE,9.0,1,4
0,15000,6.99,A,PERSONAL,0.14,26,109000,MORTGAGE,10.0,0,4
0,6000,10.95,B,EDUCATION,0.26,21,23000,RENT,5.0,0,2
0,3000,11.49,B,VENTURE,0.05,33,58800,RENT,10.0,0,5
0,8200,6.62,A,EDUCATION,0.13,23,65000,MORTGAGE,0.0,0,4
0,8000,8.9,A,DEBTCONSOLIDATION,0.15,27,52000,MORTGAGE,4.0,0,10
0,11750,8.9,A,EDUCATION,0.24,30,49000,MORTGAGE,9.0,0,9
0,25000,10.99,B,DEBTCONSOLIDATION,0.3,26,83000,MORTGAGE,11.0,0,3
0,5000,6.03,A,MEDICAL,0.1,22,48000,MORTGAGE,0.0,0,4
0,7000,6.99,A,PERSONAL,0.14,25,49000,MORTGAGE,9.0,0,3
0,8975,10.99,B,VENTURE,0.17,26,52800,RENT,4.0,0,2
0,9000,7.29,A,PERSONAL,0.16,24,56000,RENT,6.0,0,2
0,9000,5.42,A,DEBTCONSOLIDATION,0.11,31,82000,MORTGAGE,15.0,0,10
0,10000,13.99,C,DEBTCONSOLIDATION,0.07,37,146000,MORTGAGE,5.0,1,16
1,9500,15.62,D,EDUCATION,0.17,36,55000,RENT,1.0,0,12
0,8500,10.2,B,MEDICAL,0.2,26,42996,RENT,10.0,0,2
1,9200,6.62,A,DEBTCONSOLIDATION,0.31,21,30000,RENT,6.0,0,3
0,5000,10.38,B,DEBTCONSOLIDATION,0.12,25,42996,RENT,6.0,0,2
0,12000,7.49,A,EDUCATION,0.12,34,100000,MORTGAGE,7.0,0,6
1,9600,10.99,A,VENTURE,0.32,28,30000,RENT,0.0,0,7
0,2500,10.99,B,DEBTCONSOLIDATION,0.06,21,42500,RENT,0.0,0,4
1,15000,8.49,A,MEDICAL,0.28,31,54000,MORTGAGE,12.0,0,6
0,10000,10.99,B,VENTURE,0.26,26,38000,RENT,10.0,0,3
0,5000,10.99,A,EDUCATION,0.04,23,120000,RENT,2.0,0,4
0,2075,15.23,C,PERSONAL,0.03,29,60000,RENT,13.0,0,7
0,12800,16.82,E,EDUCATION,0.12,29,110000,MORTGAGE,1.0,0,6
0,12800,12.84,C,VENTURE,0.21,26,60000,RENT,7.0,0,2
0,4000,6.76,A,PERSONAL,0.07,24,57431,MORTGAGE,8.0,0,3
0,3600,10.99,B,HOMEIMPROVEMENT,0.18,26,20004,MORTGAGE,4.0,0,2
1,15000,14.42,D,PERSONAL,0.19,31,81000,RENT,1.0,0,6
1,12000,10.99,B,MEDICAL,0.26,22,45449,RENT,6.0,0,4
0,15000,17.19,E,EDUCATION,0.21,22,72000,RENT,6.0,0,4
1,21000,11.71,B,DEBTCONSOLIDATION,0.25,33,83000,RENT,0.0,0,7
0,12000,7.51,A,VENTURE,0.14,37,88000,MORTGAGE,21.0,0,17
0,3000,10.36,B,VENTURE,0.06,28,50000,MORTGAGE,12.0,0,7
0,15000,10.25,B,EDUCATION,0.1,24,156000,MORTGAGE,8.0,0,3
0,5000,6.92,A,DEBTCONSOLIDATION,0.08,28,65000,MORTGAGE,3.0,0,5
0,4000,5.79,A,VENTURE,0.05,26,75000,MORTGAGE,2.0,0,3
0,1250,19.29,E,PERSONAL,0.04,24,33000,MORTGAGE,3.0,0,4
1,7550,16.89,D,DEBTCONSOLIDATION,0.22,41,34560,RENT,8.0,0,14
0,10000,14.22,C,MEDICAL,0.22,27,45000,RENT,4.0,1,6
0,20000,11.49,B,MEDICAL,0.11,24,183000,MORTGAGE,2.0,0,3
0,15600,7.9,A,HOMEIMPROVEMENT,0.28,38,55000,OWN,5.0,0,15
0,4800,10.99,A,EDUCATION,0.05,23,97000,MORTGAGE,7.0,0,2
0,4900,6.99,A,VENTURE,0.05,23,90000,MORTGAGE,7.0,0,2
0,8400,9.99,B,PERSONAL,0.23,22,37308,MORTGAGE,0.0,0,4
0,7000,6.03,A,EDUCATION,0.31,37,22800,OWN,18.0,0,12
1,4800,13.98,C,PERSONAL,0.15,22,32400,RENT,7.0,1,2
0,4800,11.49,B,VENTURE,0.14,28,34000,RENT,1.0,0,7
0,10000,7.49,A,EDUCATION,0.1,26,105000,OWN,0.0,0,2
0,8000,10.83,B,DEBTCONSOLIDATION,0.2,35,41000,MORTGAGE,0.0,0,6
0,6800,13.16,C,HOMEIMPROVEMENT,0.06,29,119500,MORTGAGE,6.0,1,10
0,8000,10.25,B,EDUCATION,0.15,26,52000,RENT,3.0,0,4
0,10900,15.65,D,PERSONAL,0.18,22,60000,RENT,5.0,0,2
1,11300,12.17,D,VENTURE,0.34,45,33600,RENT,8.0,0,11
0,6600,13.47,C,EDUCATION,0.17,31,38000,OWN,8.0,0,5
0,5550,7.29,A,VENTURE,0.09,23,64000,MORTGAGE,4.0,0,4
0,1000,10.75,B,DEBTCONSOLIDATION,0.02,26,64000,RENT,4.0,0,2
0,12000,10.99,B,DEBTCONSOLIDATION,0.19,38,62000,RENT,3.0,0,16
0,4000,10.74,B,DEBTCONSOLIDATION,0.11,22,34800,RENT,4.0,0,3
0,4800,7.88,A,PERSONAL,0.05,48,92000,RENT,1.0,0,17
0,17000,12.42,B,EDUCATION,0.34,23,50000,MORTGAGE,6.0,0,3
1,25000,14.93,E,DEBTCONSOLIDATION,0.17,23,148000,RENT,1.0,0,3
0,10500,10.99,A,HOMEIMPROVEMENT,0.14,28,75000,MORTGAGE,6.0,0,9
0,15350,8.9,A,VENTURE,0.34,27,45600,MORTGAGE,6.0,0,10
0,20000,8.88,B,EDUCATION,0.25,25,80000,RENT,7.0,0,4
0,2000,10.36,B,HOMEIMPROVEMENT,0.04,24,53000,RENT,3.0,0,2
0,20000,11.36,B,HOMEIMPROVEMENT,0.42,29,48000,MORTGAGE,13.0,0,10
1,7000,15.99,D,DEBTCONSOLIDATION,0.18,40,38000,RENT,4.0,0,16
0,4800,5.42,A,MEDICAL,0.1,23,48000,RENT,3.0,0,3
0,21000,13.98,C,PERSONAL,0.3,22,70500,RENT,3.0,1,4
0,3500,5.42,A,DEBTCONSOLIDATION,0.05,23,70000,MORTGAGE,7.0,0,2
0,2000,5.42,A,VENTURE,0.02,26,94500,OWN,10.0,0,2
1,8000,10.99,C,HOMEIMPROVEMENT,0.21,24,39000,RENT,4.0,0,2
0,1500,11.12,B,HOMEIMPROVEMENT,0.07,40,21408,MORTGAGE,4.0,0,14
0,4500,10.99,A,VENTURE,0.05,24,86854,RENT,8.0,0,4
0,4200,14.26,C,PERSONAL,0.17,25,24996,RENT,1.0,1,2
0,12000,8.94,A,MEDICAL,0.13,32,89000,RENT,0.0,0,6
0,25000,12.53,B,DEBTCONSOLIDATION,0.18,26,135660,RENT,10.0,0,4
0,2500,13.47,C,EDUCATION,0.02,39,101000,MORTGAGE,17.0,1,17
0,25000,10.75,B,HOMEIMPROVEMENT,0.19,25,134748,MORTGAGE,4.0,0,3
0,5000,10.99,A,VENTURE,0.05,24,100000,MORTGAGE,1.0,0,3
0,14000,7.49,A,MEDICAL,0.16,25,89000,MORTGAGE,9.0,0,2
0,5500,13.06,C,PERSONAL,0.13,35,42300,RENT,3.0,0,8
0,11000,5.42,A,VENTURE,0.26,28,42000,MORTGAGE,12.0,0,7
0,6000,15.99,D,PERSONAL,0.06,30,95000,MORTGAGE,0.0,1,7
0,10000,14.22,C,PERSONAL,0.22,49,45000,RENT,8.0,0,12
1,10000,7.88,A,DEBTCONSOLIDATION,0.33,26,30720,RENT,5.0,0,2
0,12000,9.62,B,DEBTCONSOLIDATION,0.27,25,45000,RENT,9.0,0,3
1,9000,10.99,B,MEDICAL,0.31,22,29000,RENT,7.0,0,2
1,25000,11.86,D,DEBTCONSOLIDATION,0.54,26,46000,RENT,2.0,0,4
0,12000,11.36,B,VENTURE,0.11,23,105000,MORTGAGE,7.0,0,2
1,8000,11.46,B,MEDICAL,0.11,27,62900,MORTGAGE,1.0,0,8
0,3200,9.63,A,PERSONAL,0.08,24,41745,RENT,2.0,0,3
0,7500,13.8,D,PERSONAL,0.15,25,50000,MORTGAGE,5.0,1,4
0,5375,8.94,A,HOMEIMPROVEMENT,0.04,28,139913,MORTGAGE,7.0,0,6
0,4800,5.42,A,HOMEIMPROVEMENT,0.06,41,76000,MORTGAGE,17.0,0,16
1,20000,15.95,E,VENTURE,0.27,25,74004,RENT,2.0,0,3
0,4800,6.92,A,PERSONAL,0.09,24,55000,RENT,8.0,0,3
1,12000,7.29,A,VENTURE,0.53,30,22452,RENT,2.0,0,5
0,6500,5.42,A,DEBTCONSOLIDATION,0.01,29,480000,MORTGAGE,6.0,0,9
0,12000,12.42,B,EDUCATION,0.16,32,73527,MORTGAGE,11.0,0,7
0,8000,17.27,D,VENTURE,0.12,26,65000,MORTGAGE,2.0,1,3
0,2000,12.98,C,EDUCATION,0.04,24,45996,RENT,3.0,1,4
1,12000,10.99,C,DEBTCONSOLIDATION,0.32,28,37500,RENT,4.0,0,9
0,11600,11.99,B,VENTURE,0.2,26,58000,MORTGAGE,0.0,0,3
1,2400,14.26,C,HOMEIMPROVEMENT,0.08,24,28800,RENT,0.0,1,4
0,24250,15.65,D,VENTURE,0.23,30,105000,RENT,4.0,0,10
0,14000,6.54,A,VENTURE,0.28,28,50000,RENT,2.0,0,6
0,13650,12.42,B,HOMEIMPROVEMENT,0.21,45,66000,RENT,4.0,0,11
0,5000,7.51,A,PERSONAL,0.13,34,39996,RENT,1.0,0,6
1,7500,15.23,C,DEBTCONSOLIDATION,0.09,26,80004,MORTGAGE,7.0,1,2
0,7000,7.49,A,PERSONAL,0.19,26,36000,MORTGAGE,2.0,0,2
0,12900,12.99,C,PERSONAL,0.07,34,180000,MORTGAGE,9.0,1,8
1,14500,6.17,A,DEBTCONSOLIDATION,0.45,35,32000,RENT,4.0,0,5
0,15000,8.49,A,EDUCATION,0.29,24,51500,RENT,8.0,0,2
1,2000,7.66,A,DEBTCONSOLIDATION,0.06,25,34000,MORTGAGE,9.0,0,4
0,7000,7.49,A,HOMEIMPROVEMENT,0.13,26,54200,MORTGAGE,3.0,0,3
0,10000,10.99,E,PERSONAL,0.14,24,72000,RENT,3.0,1,4
0,10000,6.17,A,PERSONAL,0.14,29,72000,MORTGAGE,5.0,0,10
1,10000,15.2,D,HOMEIMPROVEMENT,0.26,23,39000,RENT,2.0,0,4
0,2000,7.49,A,HOMEIMPROVEMENT,0.03,28,65000,MORTGAGE,4.0,0,6
0,10000,12.53,B,DEBTCONSOLIDATION,0.15,27,65000,MORTGAGE,2.0,0,7
1,6000,15.62,D,MEDICAL,0.21,24,29000,MORTGAGE,1.0,0,3
0,10000,12.18,B,PERSONAL,0.32,24,31200,OWN,8.0,0,2
0,5000,12.53,B,VENTURE,0.13,32,37300,RENT,2.0,0,9
0,7200,7.9,A,DEBTCONSOLIDATION,0.19,24,37200,RENT,8.0,0,4
0,1500,9.63,B,EDUCATION,0.04,21,35000,MORTGAGE,5.0,0,2
0,10000,12.61,C,HOMEIMPROVEMENT,0.33,24,30000,OWN,7.0,0,3
0,5600,7.49,A,MEDICAL,0.11,25,49200,MORTGAGE,6.0,0,2
1,12000,10.83,B,MEDICAL,0.31,23,39000,RENT,7.0,0,3
0,3200,10.59,B,EDUCATION,0.11,22,28000,RENT,3.0,0,2
0,7750,7.14,A,DEBTCONSOLIDATION,0.15,22,53000,MORTGAGE,6.0,0,4
1,6400,20.62,F,DEBTCONSOLIDATION,0.17,22,38000,RENT,2.0,0,3
0,4750,7.9,A,MEDICAL,0.16,28,30000,MORTGAGE,4.0,0,7
1,9600,16.77,D,DEBTCONSOLIDATION,0.31,25,31000,RENT,5.0,0,3
0,4000,10.38,B,DEBTCONSOLIDATION,0.11,32,37400,RENT,0.0,0,7
0,1500,15.62,D,MEDICAL,0.04,24,39000,RENT,8.0,1,3
0,1000,10.37,B,VENTURE,0.02,27,51298,RENT,11.0,0,9
0,6250,13.48,C,PERSONAL,0.27,21,23000,RENT,5.0,1,3
0,2500,9.62,B,HOMEIMPROVEMENT,0.03,24,79800,RENT,8.0,0,2
0,12000,13.24,D,VENTURE,0.15,42,82000,RENT,10.0,1,13
0,10000,11.36,B,PERSONAL,0.15,34,65000,MORTGAGE,17.0,0,7
1,14000,13.8,C,VENTURE,0.24,38,59000,RENT,5.0,0,14
0,10000,16.4,E,HOMEIMPROVEMENT,0.1,24,100400,MORTGAGE,6.0,1,4
0,4000,14.27,C,DEBTCONSOLIDATION,0.08,30,50000,MORTGAGE,6.0,0,9
0,9600,15.37,D,EDUCATION,0.14,22,70000,MORTGAGE,0.0,0,2
0,15000,17.14,E,HOMEIMPROVEMENT,0.19,27,79200,OWN,1.0,0,8
0,6000,12.73,C,EDUCATION,0.22,32,27000,RENT,2.0,1,5
0,6000,6.62,A,VENTURE,0.11,35,54000,OWN,4.0,0,9
0,6000,13.47,C,HOMEIMPROVEMENT,0.08,27,75000,OWN,11.0,0,7
0,6000,13.35,C,MEDICAL,0.1,27,60000,MORTGAGE,11.0,0,8
0,15250,7.88,A,DEBTCONSOLIDATION,0.29,38,52000,MORTGAGE,3.0,0,15
0,20000,13.48,C,EDUCATION,0.24,24,83500,RENT,1.0,0,3
0,13125,10.99,B,EDUCATION,0.09,33,150000,MORTGAGE,12.0,0,9
1,6600,16.89,D,MEDICAL,0.16,22,41838,RENT,0.0,0,3
0,24250,15.31,D,MEDICAL,0.19,26,127500,OWN,9.0,1,4
0,4000,6.92,A,MEDICAL,0.08,25,50000,RENT,6.0,0,4
0,7200,5.42,A,HOMEIMPROVEMENT,0.13,26,54000,MORTGAGE,10.0,0,2
0,20000,12.18,B,EDUCATION,0.33,23,60000,MORTGAGE,7.0,0,4
0,7500,13.22,C,HOMEIMPROVEMENT,0.19,24,40000,OWN,8.0,0,3
0,5200,12.69,B,EDUCATION,0.09,30,55684,MORTGAGE,13.0,0,9
